feature,coefficient,absolute_importance,feature_group
"developer_publisher__developer_Nikita ""Ghost_RUS""",-0.507480896206755,0.507480896206755,Other
developer_publisher__developer_Clarus Victoria,0.5074465056279358,0.5074465056279358,Other
"developer_publisher__publisher_Clarus Victoria,Clarus Victoria",0.5074465056279358,0.5074465056279358,Other
"developer_publisher__publisher_Wastelands Interactive,Wastelands Interactive",-0.5055269681460984,0.5055269681460984,Other
developer_publisher__developer_ACE Team,0.5045882028663777,0.5045882028663777,Other
tags__tag_shooter,0.504000332492748,0.504000332492748,Other
developer_publisher__developer_Flying Wild Hog,-0.5033079882242876,0.5033079882242876,Other
"developer_publisher__publisher_Wadjet Eye Games,Wadjet Eye Games",0.5025016355999056,0.5025016355999056,Other
developer_publisher__developer_Alawar Entertainment,-0.4936406547689207,0.4936406547689207,Other
"developer_publisher__publisher_Kalypso Media Digital,Kalypso Media Digital",0.4932929832561985,0.4932929832561985,Other
"developer_publisher__publisher_Zoo Corporation,Zoo Corporation",0.49267844280230433,0.49267844280230433,Other
developer_publisher__developer_Straywire,-0.4900221935297648,0.4900221935297648,Other
developer_publisher__developer_City Interactive S.A.,-0.4900166216913134,0.4900166216913134,Other
"developer_publisher__publisher_City Interactive S.A.,City Interactive S.A.",-0.4900166216913134,0.4900166216913134,Other
"developer_publisher__publisher_Digerati,Digerati",-0.48976083090515055,0.48976083090515055,Other
developer_publisher__developer_Avalanche Studios,-0.4892419550210611,0.4892419550210611,Other
developer_publisher__developer_Zen Studios,0.48585191164042013,0.48585191164042013,Other
"developer_publisher__developer_Sledgehammer Games,Raven Software",-0.48579255637898583,0.48579255637898583,Other
developer_publisher__developer_DRUNKEN APES,-0.48561761202473747,0.48561761202473747,Other
"developer_publisher__publisher_DRUNKEN APES,DRUNKEN APES",-0.48561761202473747,0.48561761202473747,Other
developer_publisher__developer_Tripwire Interactive,-0.4825891237098938,0.4825891237098938,Other
developer_publisher__developer_Dovetail Games,-0.4808394830975168,0.4808394830975168,Other
